Experiment results
out/august/MLP_select_lr1e_3_sgd/metrics.csv
2023-09-06 10:40:55
"test_miou, 0.022"
"test_macc, 0.092"
"test_oacc, 0.126"
"frequent_cls_acc, 0.112"
"common_cls_acc, 0.002"
"rare_cls_acc, nan"
"test_acc_Background, 0.373"
"test_acc_Bedrock, 0.448"
"test_acc_Bedrockwith grass, 0.006"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, nan"
"test_acc_Scree, 0.0"
"test_acc_Scree with grass, 0.0"
"test_acc_Water, 0.0"
"test_acc_Forest, 0.0"
"test_acc_Glacier, 0.0"
Experiment results
out/august/MLP_select_lr1e_3_sgd/metrics.csv
2023-09-06 13:29:16
"test_miou, 0.029"
"test_macc, 0.1"
"test_oacc, 0.288"
"frequent_cls_acc, 0.25"
"common_cls_acc, 0.0"
"rare_cls_acc, 0.0"
"test_acc_Background, 0.0"
"test_acc_Bedrock, 1.0"
"test_acc_Bedrockwith grass, 0.0"
"test_acc_Large blocks, 0.0"
"test_acc_Large blocks with grass, 0.0"
"test_acc_Scree, 0.0"
"test_acc_Scree with grass, 0.0"
"test_acc_Water, 0.0"
"test_acc_Forest, 0.0"
"test_acc_Glacier, 0.0"
